Designator,Mid X,Mid Y,Layer,Rotation,Description,Part
C1,52.4,40.5,Top,180,805,
C2,44.2,62.9,Top,270,805,
C3,56,19,Top,270,EIA3216-KIT,
C4,44,19,Top,90,EIA3216-KIT,
D1,37.5,10.5,Top,180,SCHOTTKY,SOD-323
D2,54.8,10,Top,270,3V6,SOD-323
IC1,50,18,Top,0,LM1117-3V3,SOT223
LED1,50,26,Top,90,LED-0603,
Q1,43,7.95,Top,180,2N7002D,SOT23-3
Q2,46.5,7.95,Top,180,2N7002D,SOT23-3
Q3,32.45,82.5,Top,90,2N7002D,SOT23-3
Q4,27.95,61.64,Top,90,2N7002D,SOT23-3
Q5,29.45,39.64,Top,90,2N7002D,SOT23-3
Q6,27.45,17.64,Top,90,2N7002D,SOT23-3
Q7,72.05,18.5,Top,270,2N7002D,SOT23-3
Q8,74.55,38.5,Top,270,2N7002D,SOT23-3
Q9,71.05,61.5,Top,270,2N7002D,SOT23-3
Q10,70.25,82.37,Top,270,2N7002D,SOT23-3
R1,43,11,Top,0,4K7,805
R2,46.5,11,Top,0,4K7,805
R3,37.5,8.5,Top,0,4K7,805
R4,53,26,Top,0,1K,805
R5,30.5,79.5,Top,270,4K7,805
R6,26.2,68,Top,180,4K7,805
R7,27.5,46,Top,180,4K7,805
R8,25.5,24,Top,180,4K7,805
R9,74,23,Top,0,4K7,805
R10,77.5,45,Top,0,4K7,805
R11,73,65.5,Top,0,4K7,805
R12,71.2,87,Top,90,4K7,805
R13,51.26,8,Top,270,470R,805
U1,50,35,Top,270,TSSOP24,
U2,50,65,Top,270,MCP23017SS,SSOP28
X1,12.26,83,Top,90,RJ45-8-2-CONEC-1,CONEC-33TS3004ST-88001
X2,12.26,61,Top,90,RJ45-8-2-CONEC-1,CONEC-33TS3004ST-88001
X3,12.26,39,Top,90,RJ45-8-2-CONEC-1,CONEC-33TS3004ST-88001
X4,12.26,17,Top,90,RJ45-8-2-CONEC-1,CONEC-33TS3004ST-88001
X5,87.74,17,Top,270,RJ45-8-2-CONEC-1,CONEC-33TS3004ST-88001
X6,87.74,39,Top,270,RJ45-8-2-CONEC-1,CONEC-33TS3004ST-88001
X7,87.74,61,Top,270,RJ45-8-2-CONEC-1,CONEC-33TS3004ST-88001
X8,87.74,83,Top,270,RJ45-8-2-CONEC-1,CONEC-33TS3004ST-88001
